condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note,source_file,lhs_point_id,detector_efficiency,dark_count_rate,alice_delay_ms,bob_delay_ms
loss_15pct,15.0,,,0.0871261378413524,7692.0,1013.0,0.1013,89.34298729896545,11.338326942328802,0.8,,,6.0,,joint_fault_pf_results.csv,,,,,
baseline,,,,0.1131105398457583,3891.0,0.0,0.0,53.71269249916077,0.0,0.8,,,7.0,,joint_fault_pf_results.csv,,,,,
loss_1pct,1.0,,,0.0729166666666666,3841.0,852.0,0.0852,49.97806096076965,17.04748010669679,0.8,,,7.0,,joint_fault_pf_results.csv,,,,,
loss_5pct,5.0,,,0.1029023746701846,3798.0,149.0,0.0149,56.79129099845886,2.6236417130232765,0.8,,,7.0,,joint_fault_pf_results.csv,,,,,
loss_15pct,15.0,,,0.096,3757.0,296.0,0.0296,63.277729511260986,4.677791101011668,0.8,,,7.0,,joint_fault_pf_results.csv,,,,,
baseline,,,,0.0052910052910052,3788.0,3085.0,0.3085,50.98091125488281,60.512845378073294,,,,1.0,,baseline_runs.csv,,,,,
baseline,,,,0.0052083333333333,3845.0,3135.0,0.3135,47.79901742935181,65.58712225902157,,,,2.0,,baseline_runs.csv,,,,,
baseline,,,,0.0052219321148825,3834.0,3125.0,0.3125,48.89912009239197,63.90708041567004,,,,3.0,,baseline_runs.csv,,,,,
baseline,,,,0.0052631578947368,3804.0,3099.0,0.3099,48.5841019153595,63.78629794163746,,,,4.0,,baseline_runs.csv,,,,,
baseline,,,,0.008,3755.0,2925.0,0.2925,49.97914862632752,58.5244062852883,,,,5.0,,baseline_runs.csv,,,,,
baseline,,,,0.0079575596816976,3774.0,2942.0,0.2942,48.93628072738648,60.11899466551721,,,,6.0,,baseline_runs.csv,,,,,
baseline,,,,0.0104712041884816,3823.0,2863.0,0.2863,49.6058611869812,57.71495406981019,,,,7.0,,baseline_runs.csv,,,,,
baseline,,,,0.0105540897097625,3798.0,2841.0,0.2841,49.93556785583496,56.89331516569566,,,,8.0,,baseline_runs.csv,,,,,
baseline,,,,0.0181818181818181,3850.0,2556.0,0.2556,48.98639178276062,52.17775604570068,,,,9.0,,baseline_runs.csv,,,,,
baseline,,,,0.0184210526315789,3800.0,2513.0,0.2513,48.9279305934906,51.36125663843897,,,,10.0,,baseline_runs.csv,,,,,
jitter_10ms,,50.0,10.0,0.0927835051546391,3885.0,379.0,0.0379,52.412768602371216,7.231062393884943,,,,1.0,,joint_fault_jitter_check.csv,,,,,
