toeplitz_prob,hash_prob,reconciliation_prob,qber_after_reconciliation,secure_key_length,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run
0.0,0.3,0.0,0.0,462,True,0,10.052246332168579,{},False,,hash_0.3,0
0.0,0.3,0.0,0.0,462,False,1,8.806752920150757,{'hash_output': 1},False,,hash_0.3,1
0.0,0.3,0.0,0.0,462,False,1,9.299556016921997,{'hash_output': 1},False,,hash_0.3,2
0.0,0.3,0.0,0.0,462,False,1,8.2810218334198,{'hash_output': 1},False,,hash_0.3,3
0.0,0.3,0.0,0.0,462,True,0,8.485918283462524,{},False,,hash_0.3,4
0.0,0.3,0.0,0.0,462,False,1,8.380293607711792,{'hash_output': 1},False,,hash_0.3,5
0.0,0.3,0.0,0.0,462,False,1,8.819122791290283,{'hash_output': 1},False,,hash_0.3,6
0.0,0.3,0.0,0.0,462,False,1,8.94489312171936,{'hash_output': 1},False,,hash_0.3,7
0.0,0.3,0.0,0.0,462,True,0,9.003740072250366,{},False,,hash_0.3,8
0.0,0.3,0.0,0.0,462,False,1,8.403702974319458,{'hash_output': 1},False,,hash_0.3,9
0.0,0.1,0.0,0.0,462,True,0,8.837528228759766,{},False,,hash_0.1,0
0.0,0.1,0.0,0.0,462,False,1,10.344715356826782,{'hash_output': 1},False,,hash_0.1,1
0.0,0.1,0.0,0.0,462,True,0,8.3517587184906,{},False,,hash_0.1,2
0.0,0.1,0.0,0.0,462,False,1,9.621776819229126,{'hash_output': 1},False,,hash_0.1,3
0.0,0.1,0.0,0.0,462,True,0,9.177807092666626,{},False,,hash_0.1,4
0.0,0.1,0.0,0.0,462,True,0,8.463716506958008,{},False,,hash_0.1,5
0.0,0.1,0.0,0.0,462,False,1,8.171510696411133,{'hash_output': 1},False,,hash_0.1,6
0.0,0.1,0.0,0.0,462,False,1,8.192067623138428,{'hash_output': 1},False,,hash_0.1,7
0.0,0.1,0.0,0.0,462,True,0,8.732783794403076,{},False,,hash_0.1,8
0.0,0.1,0.0,0.0,462,False,1,8.372718572616577,{'hash_output': 1},False,,hash_0.1,9
0.0,0.05,0.0,0.0,462,True,0,8.603219270706177,{},False,,hash_0.05,0
0.0,0.05,0.0,0.0,462,False,1,8.179480075836182,{'hash_output': 1},False,,hash_0.05,1
0.0,0.05,0.0,0.0,462,True,0,8.216322660446167,{},False,,hash_0.05,2
0.0,0.05,0.0,0.0,462,True,0,8.104637145996094,{},False,,hash_0.05,3
0.0,0.05,0.0,0.0,462,True,0,8.338687658309937,{},False,,hash_0.05,4
0.0,0.05,0.0,0.0,462,True,0,8.344756364822388,{},False,,hash_0.05,5
0.0,0.05,0.0,0.0,462,True,0,8.347838878631592,{},False,,hash_0.05,6
0.0,0.05,0.0,0.0,462,True,0,8.42791223526001,{},False,,hash_0.05,7
0.0,0.05,0.0,0.0,462,True,0,8.10444712638855,{},False,,hash_0.05,8
0.0,0.05,0.0,0.0,462,True,0,10.815821409225464,{},False,,hash_0.05,9
0.0,0.03,0.0,0.0,462,True,0,10.767930269241333,{},False,,hash_0.03,0
0.0,0.03,0.0,0.0,462,True,0,10.653550624847412,{},False,,hash_0.03,1
0.0,0.03,0.0,0.0,462,True,0,10.369788885116577,{},False,,hash_0.03,2
0.0,0.03,0.0,0.0,462,True,0,8.346747875213623,{},False,,hash_0.03,3
0.0,0.03,0.0,0.0,462,True,0,9.829774379730225,{},False,,hash_0.03,4
0.0,0.03,0.0,0.0,462,True,0,8.402843713760376,{},False,,hash_0.03,5
0.0,0.03,0.0,0.0,462,True,0,8.384721279144287,{},False,,hash_0.03,6
0.0,0.03,0.0,0.0,462,True,0,8.381802320480347,{},False,,hash_0.03,7
0.0,0.03,0.0,0.0,462,True,0,8.219578504562378,{},False,,hash_0.03,8
0.0,0.03,0.0,0.0,462,True,0,8.11294174194336,{},False,,hash_0.03,9
0.0,0.01,0.0,0.0,462,True,0,9.513481140136719,{},False,,hash_0.01,0
0.0,0.01,0.0,0.0,462,True,0,9.08372950553894,{},False,,hash_0.01,1
0.0,0.01,0.0,0.0,462,True,0,8.298759937286377,{},False,,hash_0.01,2
0.0,0.01,0.0,0.0,462,True,0,8.883790731430054,{},False,,hash_0.01,3
0.0,0.01,0.0,0.0,462,True,0,8.105072498321533,{},False,,hash_0.01,4
0.0,0.01,0.0,0.0,462,True,0,8.057943105697632,{},False,,hash_0.01,5
0.0,0.01,0.0,0.0,462,True,0,8.38427996635437,{},False,,hash_0.01,6
0.0,0.01,0.0,0.0,462,True,0,8.25778341293335,{},False,,hash_0.01,7
0.0,0.01,0.0,0.0,462,True,0,8.466606855392456,{},False,,hash_0.01,8
0.0,0.01,0.0,0.0,462,True,0,11.259988784790039,{},False,,hash_0.01,9
0.0,0.003,0.0,0.0,462,True,0,8.283056497573853,{},False,,hash_0.003,0
0.0,0.003,0.0,0.0,462,True,0,8.024488925933838,{},False,,hash_0.003,1
0.0,0.003,0.0,0.0,462,True,0,8.014907836914062,{},False,,hash_0.003,2
0.0,0.003,0.0,0.0,462,True,0,10.027116775512695,{},False,,hash_0.003,3
0.0,0.003,0.0,0.0,462,True,0,8.509815454483032,{},False,,hash_0.003,4
0.0,0.003,0.0,0.0,462,True,0,8.282366275787354,{},False,,hash_0.003,5
0.0,0.003,0.0,0.0,462,True,0,7.965117931365967,{},False,,hash_0.003,6
0.0,0.003,0.0,0.0,462,True,0,8.066798448562622,{},False,,hash_0.003,7
0.0,0.003,0.0,0.0,462,True,0,10.595720291137695,{},False,,hash_0.003,8
0.0,0.003,0.0,0.0,462,True,0,8.873865842819214,{},False,,hash_0.003,9
0.0,0.001,0.0,0.0,462,True,0,8.277109861373901,{},False,,hash_0.001,0
0.0,0.001,0.0,0.0,462,True,0,8.385157585144043,{},False,,hash_0.001,1
0.0,0.001,0.0,0.0,462,True,0,8.204066038131714,{},False,,hash_0.001,2
0.0,0.001,0.0,0.0,462,True,0,8.104058980941772,{},False,,hash_0.001,3
0.0,0.001,0.0,0.0,462,True,0,8.171805620193481,{},False,,hash_0.001,4
0.0,0.001,0.0,0.0,462,True,0,8.898834228515625,{},False,,hash_0.001,5
0.0,0.001,0.0,0.0,462,True,0,8.28882384300232,{},False,,hash_0.001,6
0.0,0.001,0.0,0.0,462,True,0,8.510692596435547,{},False,,hash_0.001,7
0.0,0.001,0.0,0.0,462,True,0,8.642462730407715,{},False,,hash_0.001,8
0.0,0.001,0.0,0.0,462,True,0,8.013174533843994,{},False,,hash_0.001,9
