toeplitz_prob,hash_prob,reconciliation_prob,total_corrections,secure_key_length,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,keys_match,run,seed,fault_type,prob,key_index,qber
0.05,0.0,0.0,52,1842,0,False,,48.08975076675415,{},True,1,43,toeplitz,0.05,2,0.013826110077107153
0.05,0.0,0.0,52,1842,0,False,,46.504560470581055,{},True,2,44,toeplitz,0.05,2,0.013826110077107153
0.0,0.05,0.0,52,1842,0,False,,47.076499938964844,{},True,0,42,hash,0.05,2,0.013826110077107153
0.0,0.05,0.0,52,1842,0,False,,47.59574913978577,{},True,1,43,hash,0.05,2,0.013826110077107153
0.0,0.05,0.0,52,1842,0,False,,48.509217500686646,{},True,2,44,hash,0.05,2,0.013826110077107153
0.01,0.0,0.0,52,1842,0,False,,46.527791261672974,{},True,0,42,toeplitz,0.01,2,0.013826110077107153
0.01,0.0,0.0,52,1842,0,False,,48.792914628982544,{},True,1,43,toeplitz,0.01,2,0.013826110077107153
0.01,0.0,0.0,52,1842,0,False,,46.55015444755554,{},True,2,44,toeplitz,0.01,2,0.013826110077107153
0.0,0.01,0.0,52,1842,0,False,,47.52743172645569,{},True,0,42,hash,0.01,2,0.013826110077107153
0.0,0.01,0.0,52,1842,0,False,,48.46257996559143,{},True,1,43,hash,0.01,2,0.013826110077107153
0.0,0.01,0.0,52,1842,0,False,,46.06741261482239,{},True,2,44,hash,0.01,2,0.013826110077107153
0.5,0.0,0.0,37,1869,0,False,,54.983195781707764,{},True,0,42,toeplitz,0.5,3,0.009698558322411533
0.5,0.0,0.0,37,1869,0,False,,48.35935592651367,{'toeplitz_matrix': 1},False,1,43,toeplitz,0.5,3,0.009698558322411533
0.5,0.0,0.0,37,1869,0,False,,51.143529415130615,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.5,3,0.009698558322411533
0.0,0.5,0.0,37,1869,0,False,,49.63491082191467,{},True,0,42,hash,0.5,3,0.009698558322411533
0.0,0.5,0.0,37,1869,0,False,,50.51229548454285,{'hash_output': 1},False,1,43,hash,0.5,3,0.009698558322411533
0.0,0.5,0.0,37,1869,0,False,,50.04575514793396,{'hash_output': 1},False,2,44,hash,0.5,3,0.009698558322411533
0.3,0.0,0.0,37,1869,0,False,,52.21042728424072,{},True,0,42,toeplitz,0.3,3,0.009698558322411533
