toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber,mismatch
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0220417976379394,{},False,,key0_asymptotic_toeplitz_0.1,17,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0214760303497314,{},False,,key0_asymptotic_toeplitz_0.1,18,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221002101898193,{},False,,key0_asymptotic_toeplitz_0.1,19,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0208113193511962,{},False,,key0_asymptotic_toeplitz_0.05,0,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0228538513183593,{},False,,key0_asymptotic_toeplitz_0.05,1,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0212385654449462,{},False,,key0_asymptotic_toeplitz_0.05,2,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0228893756866455,{},False,,key0_asymptotic_toeplitz_0.05,3,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0217561721801757,{},False,,key0_asymptotic_toeplitz_0.05,4,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221240520477294,{},False,,key0_asymptotic_toeplitz_0.05,5,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0229029655456542,{},False,,key0_asymptotic_toeplitz_0.05,6,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0233898162841796,{},False,,key0_asymptotic_toeplitz_0.05,7,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0214264392852783,{},False,,key0_asymptotic_toeplitz_0.05,8,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0230648517608642,{},False,,key0_asymptotic_toeplitz_0.05,9,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0222582817077636,{},False,,key0_asymptotic_toeplitz_0.05,10,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0214653015136718,{},False,,key0_asymptotic_toeplitz_0.05,11,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0238125324249267,{},False,,key0_asymptotic_toeplitz_0.05,12,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0220170021057128,{},False,,key0_asymptotic_toeplitz_0.05,13,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0215978622436523,{},False,,key0_asymptotic_toeplitz_0.05,14,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0225512981414794,{},False,,key0_asymptotic_toeplitz_0.05,15,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0209360122680664,{},False,,key0_asymptotic_toeplitz_0.05,16,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0217604637145996,{},False,,key0_asymptotic_toeplitz_0.05,17,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021355390548706,{},False,,key0_asymptotic_toeplitz_0.05,18,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0217711925506591,{},False,,key0_asymptotic_toeplitz_0.05,19,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0251824855804443,{},False,,key0_asymptotic_toeplitz_0.03,0,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0271646976470947,{},False,,key0_asymptotic_toeplitz_0.03,1,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0223464965820312,{},False,,key0_asymptotic_toeplitz_0.03,2,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0216696262359619,{},False,,key0_asymptotic_toeplitz_0.03,3,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0209903717041015,{},False,,key0_asymptotic_toeplitz_0.03,4,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0223288536071777,{},False,,key0_asymptotic_toeplitz_0.03,5,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0225818157196044,{},False,,key0_asymptotic_toeplitz_0.03,6,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0229270458221435,{},False,,key0_asymptotic_toeplitz_0.03,7,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0209689140319824,{},False,,key0_asymptotic_toeplitz_0.03,8,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0222301483154296,{},False,,key0_asymptotic_toeplitz_0.03,9,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0218570232391357,{},False,,key0_asymptotic_toeplitz_0.03,10,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0262401103973388,{},False,,key0_asymptotic_toeplitz_0.03,11,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0231170654296875,{},False,,key0_asymptotic_toeplitz_0.03,12,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.026153564453125,{},False,,key0_asymptotic_toeplitz_0.03,13,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0250051021575927,{},False,,key0_asymptotic_toeplitz_0.03,14,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0225861072540283,{},False,,key0_asymptotic_toeplitz_0.03,15,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021224021911621,{},False,,key0_asymptotic_toeplitz_0.03,16,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0220668315887451,{},False,,key0_asymptotic_toeplitz_0.03,17,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0217950344085693,{},False,,key0_asymptotic_toeplitz_0.03,18,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021817922592163,{},False,,key0_asymptotic_toeplitz_0.03,19,toeplitz,0.03,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0224249362945556,{},False,,key0_asymptotic_toeplitz_0.01,0,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0222387313842773,{},False,,key0_asymptotic_toeplitz_0.01,1,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0227406024932861,{},False,,key0_asymptotic_toeplitz_0.01,2,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0213203430175781,{},False,,key0_asymptotic_toeplitz_0.01,3,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0222477912902832,{},False,,key0_asymptotic_toeplitz_0.01,4,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0235688686370849,{},False,,key0_asymptotic_toeplitz_0.01,5,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0262589454650878,{},False,,key0_asymptotic_toeplitz_0.01,6,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0220296382904052,{},False,,key0_asymptotic_toeplitz_0.01,7,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0245506763458251,{},False,,key0_asymptotic_toeplitz_0.01,8,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0235636234283447,{},False,,key0_asymptotic_toeplitz_0.01,9,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0228476524353027,{},False,,key0_asymptotic_toeplitz_0.01,10,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221483707427978,{},False,,key0_asymptotic_toeplitz_0.01,11,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023193359375,{},False,,key0_asymptotic_toeplitz_0.01,12,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0214040279388427,{},False,,key0_asymptotic_toeplitz_0.01,13,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0219030380249023,{},False,,key0_asymptotic_toeplitz_0.01,14,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0219104290008544,{},False,,key0_asymptotic_toeplitz_0.01,15,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022071361541748,{},False,,key0_asymptotic_toeplitz_0.01,16,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0224757194519042,{},False,,key0_asymptotic_toeplitz_0.01,17,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0256197452545166,{},False,,key0_asymptotic_toeplitz_0.01,18,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
