toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_measurement_error,run,bob_output_path,alice_output_path,fault_type,prob,key_index,qber
0.0,0.0,0.0,0.01,5024,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5024_20260827_055919_021281.json,390,33,1714,34,34,True,0,False,,2.2305212020874023,{},placeholder,True,,24,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5024_20260827_055919_021281.json,results/alice_realchannel_run_seed5024_20260827_055919_118961.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5025,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5025_20260827_055923_024726.json,390,33,1714,34,34,True,0,False,,4.267443895339966,{},placeholder,True,,25,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5025_20260827_055923_024726.json,results/alice_realchannel_run_seed5025_20260827_055923_048275.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5026,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5026_20260827_055928_977928.json,390,33,1714,34,34,True,0,False,,4.357730150222778,{},placeholder,True,,26,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5026_20260827_055928_977928.json,results/alice_realchannel_run_seed5026_20260827_055929_025557.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5027,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5027_20260827_055935_043768.json,390,33,1714,34,34,True,0,False,,2.2879011631011963,{},placeholder,True,,27,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5027_20260827_055935_043768.json,results/alice_realchannel_run_seed5027_20260827_055935_104957.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5028,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5028_20260827_055939_037169.json,390,33,1714,34,34,True,0,False,,2.22261118888855,{},placeholder,True,,28,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5028_20260827_055939_037169.json,results/alice_realchannel_run_seed5028_20260827_055939_128257.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5029,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5029_20260827_055942_964748.json,390,33,1714,34,34,True,0,False,,2.32706356048584,{},placeholder,True,,29,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5029_20260827_055942_964748.json,results/alice_realchannel_run_seed5029_20260827_055943_087879.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5030,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5030_20260827_055947_033266.json,390,33,1714,34,34,True,0,False,,2.46297025680542,{},placeholder,True,,30,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5030_20260827_055947_033266.json,results/alice_realchannel_run_seed5030_20260827_055947_124088.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5031,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5031_20260827_055951_262339.json,390,33,1714,34,34,True,0,False,,2.3975133895874023,{},placeholder,True,,31,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5031_20260827_055951_262339.json,results/alice_realchannel_run_seed5031_20260827_055951_359119.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5032,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5032_20260827_055955_420787.json,390,33,1714,34,34,True,0,False,,4.251197099685669,{},placeholder,True,,32,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5032_20260827_055955_420787.json,results/alice_realchannel_run_seed5032_20260827_055955_466212.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5033,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5033_20260827_060001_343836.json,390,33,1714,34,34,True,0,False,,2.2084038257598877,{},placeholder,True,,33,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5033_20260827_060001_343836.json,results/alice_realchannel_run_seed5033_20260827_060001_428120.json,verify_digest,0.01,0,0.0128205128205128
