toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023389816284179688,{},False,,key0_asymptotic_toeplitz_0.05,7,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02142643928527832,{},False,,key0_asymptotic_toeplitz_0.05,8,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023064851760864258,{},False,,key0_asymptotic_toeplitz_0.05,9,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022258281707763672,{},False,,key0_asymptotic_toeplitz_0.05,10,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021465301513671875,{},False,,key0_asymptotic_toeplitz_0.05,11,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023812532424926758,{},False,,key0_asymptotic_toeplitz_0.05,12,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02201700210571289,{},False,,key0_asymptotic_toeplitz_0.05,13,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021597862243652344,{},False,,key0_asymptotic_toeplitz_0.05,14,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022551298141479492,{},False,,key0_asymptotic_toeplitz_0.05,15,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.020936012268066406,{},False,,key0_asymptotic_toeplitz_0.05,16,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02176046371459961,{},False,,key0_asymptotic_toeplitz_0.05,17,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021355390548706055,{},False,,key0_asymptotic_toeplitz_0.05,18,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02177119255065918,{},False,,key0_asymptotic_toeplitz_0.05,19,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.025182485580444336,{},False,,key0_asymptotic_toeplitz_0.03,0,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.027164697647094727,{},False,,key0_asymptotic_toeplitz_0.03,1,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02234649658203125,{},False,,key0_asymptotic_toeplitz_0.03,2,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021669626235961914,{},False,,key0_asymptotic_toeplitz_0.03,3,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.020990371704101562,{},False,,key0_asymptotic_toeplitz_0.03,4,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022328853607177734,{},False,,key0_asymptotic_toeplitz_0.03,5,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022581815719604492,{},False,,key0_asymptotic_toeplitz_0.03,6,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022927045822143555,{},False,,key0_asymptotic_toeplitz_0.03,7,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.020968914031982422,{},False,,key0_asymptotic_toeplitz_0.03,8,toeplitz,0.03,asymptotic,0,0.0128205128205128
