toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,key_index,qber
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.02309870719909668,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,37,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.022562026977539062,{'toeplitz_matrix': 2},False,,key0_toeplitz_0.3,38,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.024408578872680664,{'toeplitz_matrix': 2},False,,key0_toeplitz_0.3,39,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02344346046447754,{},False,,key0_toeplitz_0.3,40,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.020770549774169922,{},False,,key0_toeplitz_0.3,41,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021494150161743164,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,42,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02469611167907715,{},False,,key0_toeplitz_0.3,43,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022815942764282227,{},False,,key0_toeplitz_0.3,44,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02277207374572754,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,45,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.023064374923706055,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,46,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022064685821533203,{},False,,key0_toeplitz_0.3,47,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.023372888565063477,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,48,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022853851318359375,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,49,toeplitz,0.3,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.023936748504638672,{},False,,key0_toeplitz_0.1,0,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.025118350982666016,{},False,,key0_toeplitz_0.1,1,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02547621726989746,{},False,,key0_toeplitz_0.1,2,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.025787353515625,{},False,,key0_toeplitz_0.1,3,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02295660972595215,{},False,,key0_toeplitz_0.1,4,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.0215609073638916,{},False,,key0_toeplitz_0.1,5,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,False,1,0.027236461639404297,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.1,6,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.026128530502319336,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.1,7,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02155780792236328,{},False,,key0_toeplitz_0.1,8,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02319169044494629,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.1,9,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022419214248657227,{},False,,key0_toeplitz_0.1,10,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.020995378494262695,{},False,,key0_toeplitz_0.1,11,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021300077438354492,{},False,,key0_toeplitz_0.1,12,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02004694938659668,{},False,,key0_toeplitz_0.1,13,toeplitz,0.1,0,0.01282051282051282
