latency_ms,efficiency,run,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,source_file,loss_pct,polarization_fidelity
,0.5,1,0.0,2324,2092,0.2092,48.50922870635986,43.12581452621047,joint_polarization_fidelity_x_efficiency.json,,1.0
,0.5,2,0.0,2333,2100,0.21,49.16993832588196,42.70902245355486,joint_polarization_fidelity_x_efficiency.json,,1.0
,0.5,3,0.0,2302,2072,0.2072,49.070760011672974,42.224738306623166,joint_polarization_fidelity_x_efficiency.json,,1.0
,0.8,1,0.0,3887,3499,0.3499,49.31971716880798,70.94525680315388,joint_polarization_fidelity_x_efficiency.json,,1.0
,0.8,2,0.0,3788,3410,0.341,48.39917707443237,70.45574338497144,joint_polarization_fidelity_x_efficiency.json,,1.0
,0.8,3,0.0,3812,3431,0.3431,49.33385133743286,69.54656705256403,joint_polarization_fidelity_x_efficiency.json,,1.0
,1.0,1,0.0,4831,4348,0.4348,49.26295828819275,88.26104138049948,joint_polarization_fidelity_x_efficiency.json,,1.0
,1.0,2,0.0,4652,4187,0.4187,49.20750570297241,85.08864532320892,joint_polarization_fidelity_x_efficiency.json,,1.0
,1.0,3,0.0,4816,4335,0.4335,50.01752686500549,86.66961906573115,joint_polarization_fidelity_x_efficiency.json,,1.0
1.0,,1,0.09973753280839895,3819,218,0.0218,49.73721432685852,4.383035981214536,joint_polarization_fidelity_x_latency_ms.json,,0.8
1.0,,2,0.10966057441253264,3830,7,0.0007,48.98432374000549,0.14290286086532417,joint_polarization_fidelity_x_latency_ms.json,,0.8
1.0,,3,0.08136482939632546,3810,637,0.0637,50.016152143478394,12.73588576291666,joint_polarization_fidelity_x_latency_ms.json,,0.8
100.0,,1,0.1038961038961039,3850,130,0.013,93.37374949455261,1.3922542545813066,joint_polarization_fidelity_x_latency_ms.json,,0.8
100.0,,2,0.10077519379844961,3871,198,0.0198,94.62004327774048,2.092579892600618,joint_polarization_fidelity_x_latency_ms.json,,0.8
100.0,,3,0.08042895442359249,3736,647,0.0647,92.1738612651825,7.019343565727305,joint_polarization_fidelity_x_latency_ms.json,,0.8
200.0,,1,0.09511568123393316,3892,327,0.0327,133.5271384716034,2.4489403707961706,joint_polarization_fidelity_x_latency_ms.json,,0.8
200.0,,2,0.08854166666666667,3841,473,0.0473,132.0572009086609,3.5817812034889087,joint_polarization_fidelity_x_latency_ms.json,,0.8
200.0,,3,0.09162303664921466,3824,400,0.04,125.8232638835907,3.179062342319084,joint_polarization_fidelity_x_latency_ms.json,,0.8
1.0,,1,0.05194805194805195,3851,1423,0.1423,48.442665338516235,29.374931995506618,joint_polarization_fidelity_x_latency_ms.json,,0.9
