toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_error,run,bob_output_path,fault_type,prob,key_index,qber
0.0,0.0,0.03,0.0,47,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed47_20260826_224104_661611.json,390,33,1714,34,34,False,2,False,,4.418480634689331,{'reconciliation_state': 2},placeholder,,,5,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed47_20260826_224104_661611.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed48_20260826_224110_694476.json,390,33,1714,34,34,False,1,False,,4.369584560394287,{'reconciliation_state': 1},placeholder,,,6,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed48_20260826_224110_694476.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,49,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed49_20260826_224116_662618.json,390,33,1714,34,34,True,0,False,,4.189043045043945,{},placeholder,,,7,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed49_20260826_224116_662618.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,50,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed50_20260826_224122_417111.json,390,33,1714,34,34,False,2,False,,4.458524227142334,{'reconciliation_state': 2},placeholder,,,8,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed50_20260826_224122_417111.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,51,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed51_20260826_224128_458156.json,390,33,1714,34,34,False,2,False,,4.313515663146973,{'reconciliation_state': 2},placeholder,,,9,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed51_20260826_224128_458156.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,52,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed52_20260826_224134_333484.json,390,33,1714,34,34,False,1,False,,4.362353801727295,{'reconciliation_state': 1},placeholder,,,10,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed52_20260826_224134_333484.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,53,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed53_20260826_224140_256591.json,390,33,1714,34,34,False,1,False,,4.399495840072632,{'reconciliation_state': 1},placeholder,,,11,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed53_20260826_224140_256591.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,54,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed54_20260826_224146_291294.json,390,33,1714,34,34,False,1,False,,3.5836293697357178,{'reconciliation_state': 1},placeholder,,,12,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed54_20260826_224146_291294.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,55,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed55_20260826_224151_447839.json,390,33,1714,34,34,True,0,False,,4.135966062545776,{},placeholder,,,13,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed55_20260826_224151_447839.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,56,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed56_20260826_224157_154736.json,390,33,1714,34,34,False,1,False,,4.429466724395752,{'reconciliation_state': 1},placeholder,,,14,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed56_20260826_224157_154736.json,reconciliation,0.03,0,0.0128205128205128
