axis,value,condition,run,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,success,fail_reason
loss_pct,5.0,loss_5pct,3,0.010554089709762533,3794,2838,0.2838,51.94734859466553,54.63223969608786,True,
loss_pct,5.0,loss_5pct,4,0.007853403141361256,3821,2983,0.2983,57.982911586761475,51.446191961858496,True,
loss_pct,5.0,loss_5pct,5,0.012987012987012988,3851,2772,0.2772,51.51499533653259,53.80957489933415,True,
loss_pct,10.0,loss_10pct,1,0.005221932114882507,3837,3128,0.3128,61.07633352279663,51.21460015003159,True,
loss_pct,10.0,loss_10pct,2,0.015915119363395226,3771,2594,0.2594,64.88617420196533,39.9776999014596,True,
loss_pct,10.0,loss_10pct,3,0.013157894736842105,3805,2732,0.2732,61.02856755256653,44.765920446138786,True,
loss_pct,10.0,loss_10pct,4,0.0160857908847185,3732,2560,0.256,55.418267011642456,46.19415470826951,True,
loss_pct,10.0,loss_10pct,5,0.010666666666666666,3753,2802,0.2802,65.83871698379517,42.558545007638195,True,
loss_pct,13.0,loss_13pct,1,0.008021390374331552,3745,2916,0.2916,61.541513204574585,47.382650314539944,True,
loss_pct,13.0,loss_13pct,2,0.015957446808510637,3761,2585,0.2585,75.18261504173279,34.38294875171745,True,
loss_pct,13.0,loss_13pct,3,0.0078125,3844,3003,0.3003,71.40539264678955,42.05564718136198,True,
loss_pct,13.0,loss_13pct,4,0.010362694300518135,3866,2901,0.2901,73.38764929771423,39.529812274425254,True,
loss_pct,13.0,loss_13pct,5,0.01837270341207349,3818,2528,0.2528,261.7445864677429,9.658270431169157,True,
loss_pct,15.0,loss_15pct,1,0.007874015748031496,3811,2974,0.2974,85.7234411239624,34.69296100350635,True,
loss_pct,15.0,loss_15pct,2,0.0053475935828877,3741,3043,0.3043,93.11966252326965,32.67838303472787,True,
loss_pct,15.0,loss_15pct,3,0.005208333333333333,3840,3131,0.3131,78.98024725914001,39.64282347365865,True,
loss_pct,15.0,loss_15pct,4,0.007894736842105263,3807,2971,0.2971,96.04921960830688,30.932057669139574,True,
loss_pct,15.0,loss_15pct,5,0.015873015873015872,3787,2607,0.2607,73.7808165550232,35.334388012035475,True,
attenuation_db_per_km,0.1,attenuation_db_per_km_0.1,1,0.0,3846,3462,0.3462,48.981316566467285,70.68001112836752,True,
attenuation_db_per_km,0.1,attenuation_db_per_km_0.1,2,0.007832898172323759,3830,2991,0.2991,48.939369201660156,61.11643956167987,True,
