toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020537376403808594,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,45,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020641088485717773,{},False,,key0_finitekey_toeplitz_0.5,46,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019438982009887695,{},False,,key0_finitekey_toeplitz_0.5,47,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,False,1,0.02247452735900879,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,48,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,False,1,0.019380807876586914,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,49,toeplitz,0.5,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020907163619995117,{},False,,key0_finitekey_toeplitz_0.3,0,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01999521255493164,{},False,,key0_finitekey_toeplitz_0.3,1,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020455121994018555,{},False,,key0_finitekey_toeplitz_0.3,2,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020257949829101562,{},False,,key0_finitekey_toeplitz_0.3,3,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,False,1,0.019977331161499023,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,4,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,False,True,0,0.021077632904052734,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,5,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.018914222717285156,{},False,,key0_finitekey_toeplitz_0.3,6,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019594430923461914,{},False,,key0_finitekey_toeplitz_0.3,7,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019678115844726562,{},False,,key0_finitekey_toeplitz_0.3,8,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02004694938659668,{},False,,key0_finitekey_toeplitz_0.3,9,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,False,1,0.021804332733154297,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,10,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019704580307006836,{},False,,key0_finitekey_toeplitz_0.3,11,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.021858930587768555,{},False,,key0_finitekey_toeplitz_0.3,12,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020961523056030273,{},False,,key0_finitekey_toeplitz_0.3,13,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019407987594604492,{},False,,key0_finitekey_toeplitz_0.3,14,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019753456115722656,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,15,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,False,1,0.018361806869506836,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,16,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,False,1,0.019279956817626953,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,17,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01947641372680664,{},False,,key0_finitekey_toeplitz_0.3,18,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01900029182434082,{},False,,key0_finitekey_toeplitz_0.3,19,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020287036895751953,{},False,,key0_finitekey_toeplitz_0.3,20,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.018728256225585938,{},False,,key0_finitekey_toeplitz_0.3,21,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02198195457458496,{},False,,key0_finitekey_toeplitz_0.3,22,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02056431770324707,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,23,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02040886878967285,{},False,,key0_finitekey_toeplitz_0.3,24,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01996445655822754,{},False,,key0_finitekey_toeplitz_0.3,25,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.018992900848388672,{},False,,key0_finitekey_toeplitz_0.3,26,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020264863967895508,{},False,,key0_finitekey_toeplitz_0.3,27,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019712209701538086,{},False,,key0_finitekey_toeplitz_0.3,28,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019327640533447266,{},False,,key0_finitekey_toeplitz_0.3,29,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.023017406463623047,{},False,,key0_finitekey_toeplitz_0.3,30,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02196049690246582,{},False,,key0_finitekey_toeplitz_0.3,31,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01996159553527832,{},False,,key0_finitekey_toeplitz_0.3,32,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.021498441696166992,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,33,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.024257421493530273,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.3,34,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.025603055953979492,{},False,,key0_finitekey_toeplitz_0.3,35,toeplitz,0.3,finite_key,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,23,12,True,True,0,0.037156105041503906,{},False,,key0_finitekey_toeplitz_0.3,36,toeplitz,0.3,finite_key,0,0.0128205128205128
