toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027855873107910156,{},False,,asymptotic_toeplitz_0.3,16,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027487754821777344,{},False,,asymptotic_toeplitz_0.3,17,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.02611231803894043,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,18,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02574014663696289,{},False,,asymptotic_toeplitz_0.3,19,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027387380599975586,{},False,,asymptotic_toeplitz_0.3,20,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.03197431564331055,{},False,,asymptotic_toeplitz_0.3,21,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.04637718200683594,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,22,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026472806930541992,{},False,,asymptotic_toeplitz_0.3,23,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028365612030029297,{},False,,asymptotic_toeplitz_0.3,24,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026324987411499023,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,25,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02611255645751953,{},False,,asymptotic_toeplitz_0.3,26,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025679349899291992,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,27,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.040109872817993164,{},False,,asymptotic_toeplitz_0.3,28,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027115583419799805,{},False,,asymptotic_toeplitz_0.3,29,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025821447372436523,{},False,,asymptotic_toeplitz_0.3,30,toeplitz,0.3,asymptotic
