condition,loss_pct,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,dark_count_rate,run,note
loss_1pct,1,0.0,3907,3517,0.3517,54.00986576080322,65.11773266713811,1.0,10,2,
loss_5pct,5,0.0,3875,3488,0.3488,56.64111351966858,61.580710251905536,1.0,10,2,
loss_15pct,15,0.0,3805,3425,0.3425,201.991770029068,16.956136378759982,1.0,10,2,
baseline,,0.0,3813,3432,0.3432,49.27090644836426,69.65571058849352,1.0,1000,1,
loss_1pct,1,0.0,3799,3420,0.342,49.92384433746338,68.5043398677853,1.0,1000,1,
loss_5pct,5,0.0,3782,3404,0.3404,54.917242765426636,61.98417525329588,1.0,1000,1,
loss_15pct,15,0.0,3750,3375,0.3375,64.69555234909058,52.167419203546565,1.0,1000,1,
baseline,,0.0,3831,3448,0.3448,50.015286445617676,68.93892337793685,1.0,1000,2,
loss_1pct,1,0.0,3751,3376,0.3376,48.0016655921936,70.33089286278914,1.0,1000,2,
loss_5pct,5,0.0,3809,3429,0.3429,48.81765365600586,70.24098339839286,1.0,1000,2,
loss_15pct,15,0.0,3813,3432,0.3432,71.3066771030426,48.130135064918896,1.0,1000,2,
baseline,,0.0,3740,3366,0.3366,48.93020510673523,68.79186368946307,1.0,100000,1,
loss_1pct,1,0.0,3740,3366,0.3366,50.59141755104065,66.53302403721167,1.0,100000,1,
loss_5pct,5,0.0,3795,3416,0.3416,55.91514801979065,61.09256831066491,1.0,100000,1,
loss_15pct,15,0.0,3748,3374,0.3374,506.1052756309509,6.666597173470883,1.0,100000,1,
baseline,,0.0,3792,3413,0.3413,52.46453332901001,65.053471048656,1.0,100000,2,
loss_1pct,1,0.0,3847,3463,0.3463,51.92890906333923,66.68732431440213,1.0,100000,2,
loss_5pct,5,0.0,3886,3498,0.3498,83.44059252738953,41.922041707119654,1.0,100000,2,
loss_15pct,15,0.0,3865,3479,0.3479,109.7365972995758,31.7031882308369,1.0,100000,2,
